Case ID,Case Title,Case Description,Category,Example Question,Example Response
335,Case Title 335,Description of case 335,Family Law,What was the outcome of Case Title 335?,The case resulted in a decision for the plaintiff.
336,Case Title 336,Description of case 336,Intellectual Property,What was the outcome of Case Title 336?,The case resulted in a decision for the plaintiff.
337,Case Title 337,Description of case 337,Family Law,What was the outcome of Case Title 337?,The case resulted in a decision for the plaintiff.
338,Case Title 338,Description of case 338,Intellectual Property,What was the outcome of Case Title 338?,The case resulted in a decision for the plaintiff.
339,Case Title 339,Description of case 339,Civil,What was the outcome of Case Title 339?,The case resulted in a decision for the plaintiff.
340,Case Title 340,Description of case 340,Criminal,What was the outcome of Case Title 340?,The case resulted in a decision for the plaintiff.
341,Case Title 341,Description of case 341,Intellectual Property,What was the outcome of Case Title 341?,The case resulted in a decision for the plaintiff.
342,Case Title 342,Description of case 342,Civil,What was the outcome of Case Title 342?,The case resulted in a decision for the plaintiff.
343,Case Title 343,Description of case 343,Family Law,What was the outcome of Case Title 343?,The case resulted in a decision for the plaintiff.
344,Case Title 344,Description of case 344,Family Law,What was the outcome of Case Title 344?,The case resulted in a decision for the plaintiff.
345,Case Title 345,Description of case 345,Family Law,What was the outcome of Case Title 345?,The case resulted in a decision for the plaintiff.
346,Case Title 346,Description of case 346,Family Law,What was the outcome of Case Title 346?,The case resulted in a decision for the plaintiff.
347,Case Title 347,Description of case 347,Family Law,What was the outcome of Case Title 347?,The case resulted in a decision for the plaintiff.
348,Case Title 348,Description of case 348,Criminal,What was the outcome of Case Title 348?,The case resulted in a decision for the plaintiff.
349,Case Title 349,Description of case 349,Civil,What was the outcome of Case Title 349?,The case resulted in a decision for the plaintiff.
350,Case Title 350,Description of case 350,Criminal,What was the outcome of Case Title 350?,The case resulted in a decision for the plaintiff.
351,Case Title 351,Description of case 351,Employment Law,What was the outcome of Case Title 351?,The case resulted in a decision for the plaintiff.
352,Case Title 352,Description of case 352,Family Law,What was the outcome of Case Title 352?,The case resulted in a decision for the plaintiff.
353,Case Title 353,Description of case 353,Employment Law,What was the outcome of Case Title 353?,The case resulted in a decision for the plaintiff.
354,Case Title 354,Description of case 354,Criminal,What was the outcome of Case Title 354?,The case resulted in a decision for the plaintiff.
355,Case Title 355,Description of case 355,Family Law,What was the outcome of Case Title 355?,The case resulted in a decision for the plaintiff.
356,Case Title 356,Description of case 356,Criminal,What was the outcome of Case Title 356?,The case resulted in a decision for the plaintiff.
357,Case Title 357,Description of case 357,Civil,What was the outcome of Case Title 357?,The case resulted in a decision for the plaintiff.
358,Case Title 358,Description of case 358,Employment Law,What was the outcome of Case Title 358?,The case resulted in a decision for the plaintiff.
359,Case Title 359,Description of case 359,Employment Law,What was the outcome of Case Title 359?,The case resulted in a decision for the plaintiff.
360,Case Title 360,Description of case 360,Criminal,What was the outcome of Case Title 360?,The case resulted in a decision for the plaintiff.
361,Case Title 361,Description of case 361,Criminal,What was the outcome of Case Title 361?,The case resulted in a decision for the plaintiff.
362,Case Title 362,Description of case 362,Civil,What was the outcome of Case Title 362?,The case resulted in a decision for the plaintiff.
363,Case Title 363,Description of case 363,Intellectual Property,What was the outcome of Case Title 363?,The case resulted in a decision for the plaintiff.
364,Case Title 364,Description of case 364,Civil,What was the outcome of Case Title 364?,The case resulted in a decision for the plaintiff.
365,Case Title 365,Description of case 365,Civil,What was the outcome of Case Title 365?,The case resulted in a decision for the plaintiff.
366,Case Title 366,Description of case 366,Family Law,What was the outcome of Case Title 366?,The case resulted in a decision for the plaintiff.
367,Case Title 367,Description of case 367,Criminal,What was the outcome of Case Title 367?,The case resulted in a decision for the plaintiff.
368,Case Title 368,Description of case 368,Criminal,What was the outcome of Case Title 368?,The case resulted in a decision for the plaintiff.
369,Case Title 369,Description of case 369,Intellectual Property,What was the outcome of Case Title 369?,The case resulted in a decision for the plaintiff.
370,Case Title 370,Description of case 370,Family Law,What was the outcome of Case Title 370?,The case resulted in a decision for the plaintiff.
371,Case Title 371,Description of case 371,Criminal,What was the outcome of Case Title 371?,The case resulted in a decision for the plaintiff.
372,Case Title 372,Description of case 372,Civil,What was the outcome of Case Title 372?,The case resulted in a decision for the plaintiff.
373,Case Title 373,Description of case 373,Civil,What was the outcome of Case Title 373?,The case resulted in a decision for the plaintiff.
374,Case Title 374,Description of case 374,Employment Law,What was the outcome of Case Title 374?,The case resulted in a decision for the plaintiff.
375,Case Title 375,Description of case 375,Criminal,What was the outcome of Case Title 375?,The case resulted in a decision for the plaintiff.
376,Case Title 376,Description of case 376,Intellectual Property,What was the outcome of Case Title 376?,The case resulted in a decision for the plaintiff.
377,Case Title 377,Description of case 377,Civil,What was the outcome of Case Title 377?,The case resulted in a decision for the plaintiff.
378,Case Title 378,Description of case 378,Family Law,What was the outcome of Case Title 378?,The case resulted in a decision for the plaintiff.
379,Case Title 379,Description of case 379,Civil,What was the outcome of Case Title 379?,The case resulted in a decision for the plaintiff.
380,Case Title 380,Description of case 380,Criminal,What was the outcome of Case Title 380?,The case resulted in a decision for the plaintiff.
381,Case Title 381,Description of case 381,Intellectual Property,What was the outcome of Case Title 381?,The case resulted in a decision for the plaintiff.
382,Case Title 382,Description of case 382,Intellectual Property,What was the outcome of Case Title 382?,The case resulted in a decision for the plaintiff.
383,Case Title 383,Description of case 383,Employment Law,What was the outcome of Case Title 383?,The case resulted in a decision for the plaintiff.
384,Case Title 384,Description of case 384,Intellectual Property,What was the outcome of Case Title 384?,The case resulted in a decision for the plaintiff.
385,Case Title 385,Description of case 385,Employment Law,What was the outcome of Case Title 385?,The case resulted in a decision for the plaintiff.
386,Case Title 386,Description of case 386,Civil,What was the outcome of Case Title 386?,The case resulted in a decision for the plaintiff.
387,Case Title 387,Description of case 387,Family Law,What was the outcome of Case Title 387?,The case resulted in a decision for the plaintiff.
388,Case Title 388,Description of case 388,Employment Law,What was the outcome of Case Title 388?,The case resulted in a decision for the plaintiff.
389,Case Title 389,Description of case 389,Intellectual Property,What was the outcome of Case Title 389?,The case resulted in a decision for the plaintiff.
390,Case Title 390,Description of case 390,Civil,What was the outcome of Case Title 390?,The case resulted in a decision for the plaintiff.
391,Case Title 391,Description of case 391,Criminal,What was the outcome of Case Title 391?,The case resulted in a decision for the plaintiff.
392,Case Title 392,Description of case 392,Criminal,What was the outcome of Case Title 392?,The case resulted in a decision for the plaintiff.
393,Case Title 393,Description of case 393,Employment Law,What was the outcome of Case Title 393?,The case resulted in a decision for the plaintiff.
394,Case Title 394,Description of case 394,Intellectual Property,What was the outcome of Case Title 394?,The case resulted in a decision for the plaintiff.
395,Case Title 395,Description of case 395,Employment Law,What was the outcome of Case Title 395?,The case resulted in a decision for the plaintiff.
396,Case Title 396,Description of case 396,Civil,What was the outcome of Case Title 396?,The case resulted in a decision for the plaintiff.
397,Case Title 397,Description of case 397,Civil,What was the outcome of Case Title 397?,The case resulted in a decision for the plaintiff.
398,Case Title 398,Description of case 398,Civil,What was the outcome of Case Title 398?,The case resulted in a decision for the plaintiff.
399,Case Title 399,Description of case 399,Employment Law,What was the outcome of Case Title 399?,The case resulted in a decision for the plaintiff.
400,Case Title 400,Description of case 400,Family Law,What was the outcome of Case Title 400?,The case resulted in a decision for the plaintiff.
401,Case Title 401,Description of case 401,Family Law,What was the outcome of Case Title 401?,The case resulted in a decision for the plaintiff.
402,Case Title 402,Description of case 402,Criminal,What was the outcome of Case Title 402?,The case resulted in a decision for the plaintiff.
403,Case Title 403,Description of case 403,Intellectual Property,What was the outcome of Case Title 403?,The case resulted in a decision for the plaintiff.
404,Case Title 404,Description of case 404,Intellectual Property,What was the outcome of Case Title 404?,The case resulted in a decision for the plaintiff.
405,Case Title 405,Description of case 405,Family Law,What was the outcome of Case Title 405?,The case resulted in a decision for the plaintiff.
406,Case Title 406,Description of case 406,Employment Law,What was the outcome of Case Title 406?,The case resulted in a decision for the plaintiff.
407,Case Title 407,Description of case 407,Employment Law,What was the outcome of Case Title 407?,The case resulted in a decision for the plaintiff.
408,Case Title 408,Description of case 408,Civil,What was the outcome of Case Title 408?,The case resulted in a decision for the plaintiff.
409,Case Title 409,Description of case 409,Civil,What was the outcome of Case Title 409?,The case resulted in a decision for the plaintiff.
410,Case Title 410,Description of case 410,Family Law,What was the outcome of Case Title 410?,The case resulted in a decision for the plaintiff.
411,Case Title 411,Description of case 411,Intellectual Property,What was the outcome of Case Title 411?,The case resulted in a decision for the plaintiff.
412,Case Title 412,Description of case 412,Civil,What was the outcome of Case Title 412?,The case resulted in a decision for the plaintiff.
413,Case Title 413,Description of case 413,Intellectual Property,What was the outcome of Case Title 413?,The case resulted in a decision for the plaintiff.
414,Case Title 414,Description of case 414,Intellectual Property,What was the outcome of Case Title 414?,The case resulted in a decision for the plaintiff.
415,Case Title 415,Description of case 415,Intellectual Property,What was the outcome of Case Title 415?,The case resulted in a decision for the plaintiff.
416,Case Title 416,Description of case 416,Criminal,What was the outcome of Case Title 416?,The case resulted in a decision for the plaintiff.
417,Case Title 417,Description of case 417,Family Law,What was the outcome of Case Title 417?,The case resulted in a decision for the plaintiff.
418,Case Title 418,Description of case 418,Civil,What was the outcome of Case Title 418?,The case resulted in a decision for the plaintiff.
419,Case Title 419,Description of case 419,Employment Law,What was the outcome of Case Title 419?,The case resulted in a decision for the plaintiff.
420,Case Title 420,Description of case 420,Family Law,What was the outcome of Case Title 420?,The case resulted in a decision for the plaintiff.
421,Case Title 421,Description of case 421,Intellectual Property,What was the outcome of Case Title 421?,The case resulted in a decision for the plaintiff.
422,Case Title 422,Description of case 422,Intellectual Property,What was the outcome of Case Title 422?,The case resulted in a decision for the plaintiff.
423,Case Title 423,Description of case 423,Family Law,What was the outcome of Case Title 423?,The case resulted in a decision for the plaintiff.
424,Case Title 424,Description of case 424,Intellectual Property,What was the outcome of Case Title 424?,The case resulted in a decision for the plaintiff.
425,Case Title 425,Description of case 425,Family Law,What was the outcome of Case Title 425?,The case resulted in a decision for the plaintiff.
426,Case Title 426,Description of case 426,Intellectual Property,What was the outcome of Case Title 426?,The case resulted in a decision for the plaintiff.
427,Case Title 427,Description of case 427,Criminal,What was the outcome of Case Title 427?,The case resulted in a decision for the plaintiff.
428,Case Title 428,Description of case 428,Family Law,What was the outcome of Case Title 428?,The case resulted in a decision for the plaintiff.
429,Case Title 429,Description of case 429,Family Law,What was the outcome of Case Title 429?,The case resulted in a decision for the plaintiff.
430,Case Title 430,Description of case 430,Intellectual Property,What was the outcome of Case Title 430?,The case resulted in a decision for the plaintiff.
431,Case Title 431,Description of case 431,Intellectual Property,What was the outcome of Case Title 431?,The case resulted in a decision for the plaintiff.
432,Case Title 432,Description of case 432,Intellectual Property,What was the outcome of Case Title 432?,The case resulted in a decision for the plaintiff.
433,Case Title 433,Description of case 433,Criminal,What was the outcome of Case Title 433?,The case resulted in a decision for the plaintiff.
434,Case Title 434,Description of case 434,Employment Law,What was the outcome of Case Title 434?,The case resulted in a decision for the plaintiff.
435,Case Title 435,Description of case 435,Family Law,What was the outcome of Case Title 435?,The case resulted in a decision for the plaintiff.
436,Case Title 436,Description of case 436,Intellectual Property,What was the outcome of Case Title 436?,The case resulted in a decision for the plaintiff.
437,Case Title 437,Description of case 437,Intellectual Property,What was the outcome of Case Title 437?,The case resulted in a decision for the plaintiff.
438,Case Title 438,Description of case 438,Intellectual Property,What was the outcome of Case Title 438?,The case resulted in a decision for the plaintiff.
439,Case Title 439,Description of case 439,Employment Law,What was the outcome of Case Title 439?,The case resulted in a decision for the plaintiff.
440,Case Title 440,Description of case 440,Family Law,What was the outcome of Case Title 440?,The case resulted in a decision for the plaintiff.
441,Case Title 441,Description of case 441,Civil,What was the outcome of Case Title 441?,The case resulted in a decision for the plaintiff.
442,Case Title 442,Description of case 442,Criminal,What was the outcome of Case Title 442?,The case resulted in a decision for the plaintiff.
443,Case Title 443,Description of case 443,Family Law,What was the outcome of Case Title 443?,The case resulted in a decision for the plaintiff.
444,Case Title 444,Description of case 444,Family Law,What was the outcome of Case Title 444?,The case resulted in a decision for the plaintiff.
445,Case Title 445,Description of case 445,Employment Law,What was the outcome of Case Title 445?,The case resulted in a decision for the plaintiff.
446,Case Title 446,Description of case 446,Intellectual Property,What was the outcome of Case Title 446?,The case resulted in a decision for the plaintiff.
447,Case Title 447,Description of case 447,Civil,What was the outcome of Case Title 447?,The case resulted in a decision for the plaintiff.
448,Case Title 448,Description of case 448,Family Law,What was the outcome of Case Title 448?,The case resulted in a decision for the plaintiff.
449,Case Title 449,Description of case 449,Employment Law,What was the outcome of Case Title 449?,The case resulted in a decision for the plaintiff.
450,Case Title 450,Description of case 450,Civil,What was the outcome of Case Title 450?,The case resulted in a decision for the plaintiff.
451,Case Title 451,Description of case 451,Employment Law,What was the outcome of Case Title 451?,The case resulted in a decision for the plaintiff.
452,Case Title 452,Description of case 452,Family Law,What was the outcome of Case Title 452?,The case resulted in a decision for the plaintiff.
453,Case Title 453,Description of case 453,Civil,What was the outcome of Case Title 453?,The case resulted in a decision for the plaintiff.
454,Case Title 454,Description of case 454,Civil,What was the outcome of Case Title 454?,The case resulted in a decision for the plaintiff.
455,Case Title 455,Description of case 455,Employment Law,What was the outcome of Case Title 455?,The case resulted in a decision for the plaintiff.
456,Case Title 456,Description of case 456,Family Law,What was the outcome of Case Title 456?,The case resulted in a decision for the plaintiff.
457,Case Title 457,Description of case 457,Employment Law,What was the outcome of Case Title 457?,The case resulted in a decision for the plaintiff.
458,Case Title 458,Description of case 458,Criminal,What was the outcome of Case Title 458?,The case resulted in a decision for the plaintiff.
459,Case Title 459,Description of case 459,Employment Law,What was the outcome of Case Title 459?,The case resulted in a decision for the plaintiff.
460,Case Title 460,Description of case 460,Intellectual Property,What was the outcome of Case Title 460?,The case resulted in a decision for the plaintiff.
461,Case Title 461,Description of case 461,Employment Law,What was the outcome of Case Title 461?,The case resulted in a decision for the plaintiff.
462,Case Title 462,Description of case 462,Family Law,What was the outcome of Case Title 462?,The case resulted in a decision for the plaintiff.
463,Case Title 463,Description of case 463,Civil,What was the outcome of Case Title 463?,The case resulted in a decision for the plaintiff.
464,Case Title 464,Description of case 464,Employment Law,What was the outcome of Case Title 464?,The case resulted in a decision for the plaintiff.
465,Case Title 465,Description of case 465,Intellectual Property,What was the outcome of Case Title 465?,The case resulted in a decision for the plaintiff.
466,Case Title 466,Description of case 466,Criminal,What was the outcome of Case Title 466?,The case resulted in a decision for the plaintiff.
467,Case Title 467,Description of case 467,Intellectual Property,What was the outcome of Case Title 467?,The case resulted in a decision for the plaintiff.
468,Case Title 468,Description of case 468,Employment Law,What was the outcome of Case Title 468?,The case resulted in a decision for the plaintiff.
469,Case Title 469,Description of case 469,Criminal,What was the outcome of Case Title 469?,The case resulted in a decision for the plaintiff.
470,Case Title 470,Description of case 470,Civil,What was the outcome of Case Title 470?,The case resulted in a decision for the plaintiff.
471,Case Title 471,Description of case 471,Intellectual Property,What was the outcome of Case Title 471?,The case resulted in a decision for the plaintiff.
472,Case Title 472,Description of case 472,Criminal,What was the outcome of Case Title 472?,The case resulted in a decision for the plaintiff.
473,Case Title 473,Description of case 473,Employment Law,What was the outcome of Case Title 473?,The case resulted in a decision for the plaintiff.
474,Case Title 474,Description of case 474,Civil,What was the outcome of Case Title 474?,The case resulted in a decision for the plaintiff.
475,Case Title 475,Description of case 475,Criminal,What was the outcome of Case Title 475?,The case resulted in a decision for the plaintiff.
476,Case Title 476,Description of case 476,Family Law,What was the outcome of Case Title 476?,The case resulted in a decision for the plaintiff.
477,Case Title 477,Description of case 477,Intellectual Property,What was the outcome of Case Title 477?,The case resulted in a decision for the plaintiff.
478,Case Title 478,Description of case 478,Employment Law,What was the outcome of Case Title 478?,The case resulted in a decision for the plaintiff.
479,Case Title 479,Description of case 479,Criminal,What was the outcome of Case Title 479?,The case resulted in a decision for the plaintiff.
480,Case Title 480,Description of case 480,Employment Law,What was the outcome of Case Title 480?,The case resulted in a decision for the plaintiff.
481,Case Title 481,Description of case 481,Intellectual Property,What was the outcome of Case Title 481?,The case resulted in a decision for the plaintiff.
482,Case Title 482,Description of case 482,Intellectual Property,What was the outcome of Case Title 482?,The case resulted in a decision for the plaintiff.
483,Case Title 483,Description of case 483,Employment Law,What was the outcome of Case Title 483?,The case resulted in a decision for the plaintiff.
484,Case Title 484,Description of case 484,Criminal,What was the outcome of Case Title 484?,The case resulted in a decision for the plaintiff.
485,Case Title 485,Description of case 485,Criminal,What was the outcome of Case Title 485?,The case resulted in a decision for the plaintiff.
486,Case Title 486,Description of case 486,Intellectual Property,What was the outcome of Case Title 486?,The case resulted in a decision for the plaintiff.
487,Case Title 487,Description of case 487,Intellectual Property,What was the outcome of Case Title 487?,The case resulted in a decision for the plaintiff.
488,Case Title 488,Description of case 488,Civil,What was the outcome of Case Title 488?,The case resulted in a decision for the plaintiff.
489,Case Title 489,Description of case 489,Criminal,What was the outcome of Case Title 489?,The case resulted in a decision for the plaintiff.
490,Case Title 490,Description of case 490,Employment Law,What was the outcome of Case Title 490?,The case resulted in a decision for the plaintiff.
491,Case Title 491,Description of case 491,Civil,What was the outcome of Case Title 491?,The case resulted in a decision for the plaintiff.
492,Case Title 492,Description of case 492,Family Law,What was the outcome of Case Title 492?,The case resulted in a decision for the plaintiff.
493,Case Title 493,Description of case 493,Intellectual Property,What was the outcome of Case Title 493?,The case resulted in a decision for the plaintiff.
494,Case Title 494,Description of case 494,Civil,What was the outcome of Case Title 494?,The case resulted in a decision for the plaintiff.
495,Case Title 495,Description of case 495,Civil,What was the outcome of Case Title 495?,The case resulted in a decision for the plaintiff.
496,Case Title 496,Description of case 496,Intellectual Property,What was the outcome of Case Title 496?,The case resulted in a decision for the plaintiff.
497,Case Title 497,Description of case 497,Criminal,What was the outcome of Case Title 497?,The case resulted in a decision for the plaintiff.
498,Case Title 498,Description of case 498,Employment Law,What was the outcome of Case Title 498?,The case resulted in a decision for the plaintiff.
499,Case Title 499,Description of case 499,Employment Law,What was the outcome of Case Title 499?,The case resulted in a decision for the plaintiff.
500,Case Title 500,Description of case 500,Employment Law,What was the outcome of Case Title 500?,The case resulted in a decision for the plaintiff.
